CITY,CITY_URL,LEGISTAR
Temecula,https://temeculaca.gov/agendas,https://temeculaca.legistar.com/Calendar.aspx
Sunnyvale,https://sunnyvaleca.legistar.com/MainBody.aspx,https://sunnyvaleca.legistar.com/Calendar.aspx
Santa Clara,https://www.santaclaraca.gov/our-city/government/council-meetings,https://santaclara.legistar.com/Calendar.aspx
Santa Rosa,https://srcity.org/1375/Council-Meeting-Agendas-Minutes-Videos,https://santa-rosa.legistar.com/Calendar.aspx
San Jose,https://www.sanjoseca.gov/your-government/agendas-minutes,https://sanjose.legistar.com/Calendar.aspx
Salinas,https://www.cityofsalinas.org/our-government/agendas-reports-minutes,https://salinas.legistar.com/Calendar.aspx
Riverside,https://www.riversideca.gov/council,https://riversideca.legistar.com/Calendar.aspx
Rialto,https://www.yourrialto.com/city-hall/agendas/,https://rialto.legistar.com/Calendar.aspx
Redondo Beach,https://www.redondo.org/depts/council/rbtv_council.asp,https://redondo.legistar.com/Calendar.aspx
Pomona,https://www.ci.pomona.ca.us/index.php/forms-and-docs,https://pomona.legistar.com/Calendar.aspx
Newport Beach,https://www.newportbeachca.gov/government/data-hub/agendas-minutes,https://newportbeach.legistar.com/Calendar.aspx
Napa,https://napacity.legistar.com/,https://napacity.legistar.com/Calendar.aspx
Mountain View,https://www.mountainview.gov/council/agendas/current_council_agendas.asp,https://mountainview.legistar.com/Calendar.aspx
Maricopa,https://maricopa.legistar.com/MainBody.aspx,https://maricopa.legistar.com/Calendar.aspx
Long Beach,https://longbeach.legistar.com/,https://longbeach.legistar.com/Calendar.aspx
Huntington Beach,https://www.huntingtonbeachca.gov/government/agendas/,https://huntingtonbeach.legistar.com/Calendar.aspx
Hesperia,https://www.cityofhesperia.us/135/Agendas-Minutes,https://hesperia.legistar.com/Calendar.aspx
Hermosa Beach,https://www.hermosabeach.gov/our-community/agendas-minutes-video,https://hermosabeach.legistar.com/Calendar.aspx
Hayward,https://www.hayward-ca.gov/services/city-services/find-city-council-agendas-and-minutes,https://hayward.legistar.com/Calendar.aspx
Fresno,https://www.fresno.gov/citycouncil/,https://fresno.legistar.com/Calendar.aspx
Culver City,https://culver-city.legistar.com/,https://culver-city.legistar.com/Calendar.aspx
Orange,https://www.cityoforange.org/1890/Agendas-Minutes-and-Public-Hearing-Notic,https://cityoforange.legistar.com/Calendar.aspx
Fort Bragg,https://city.fortbragg.com/130/City-Council,https://cityfortbragg.legistar.com/Calendar.aspx
South San Francisco,https://www.ssf.net/departments/city-clerk/city-council-meetings,https://ci-ssf-ca.legistar.com/Calendar.aspx
Chula Vista,https://www.chulavistaca.gov/i-want-to-/view/city-council-meetings,https://chulavista.legistar.com/Calendar.aspx
Carson,https://carson.legistar.com/MainBody.aspx,https://carson.legistar.com/Calendar.aspx
Alameda,https://www.alamedaca.gov/GOVERNMENT/Agendas-Minutes-Announcements,https://alameda.legistar.com/Calendar.aspx
Emeryville,https://www.ci.emeryville.ca.us/88/Video-Agendas-Reports-Minutes-Archive,http://emeryville.legistar.com/Calendar.aspx
Commerce,https://www.c3gov.com/government/city-council,http://commerce.legistar.com/Calendar.aspx